Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_N,LV_03_E,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_Messnetz_23,Start,End,Quali
82,Thunplatz,Thunplatz,7c98b95fbc73,4694059,745824,26014931,11988342,5518,Hauptnetz,BERNMOBIL,Tramampel,nein,2023-05-10,NA,1
83,Stadtlabor,Stadtlabor,d6e2769def35,4696311,746257,26018215,12013377,5545,Hauptnetz,AFU,Holzpflock,ja,2023-05-08,NA,1
86,"Ostermundigen, Lotschenstr 13",Ostermundigen Lotschenstrasse,0cebd74f5020,4695309,748719,2603696,12002247,5515,Hauptnetz,Gemeinde Ostermundigen,Strassenlampe,ja,2023-05-11,NA,1
87,Engehalde Stauwehr,Engehalde Stauwehr,307b8e4c1a42,4696546,744503,26004865,12015986,4945,Hauptnetz,ewb,"Wehr, am ubergang",nein,2023-05-08,NA,1
89,Gurten Kulm,Gurten Kulm,a4caecd1e2e6,4691833,743971,2600082,11963591,848,Hauptnetz,ewb,Strassenlampe,nein,2023-07-27,NA,1
98,Zollikofen Referenz 2m,Zollikofen 2m,20d1b9040ad9,4699079,746407,26019354,12044148,5529,Hauptnetz,MeteoSchweiz,Metallstange,ja,2023-05-09,NA,1
99,Zollikofen Referenz 3m,Zollikofen 3m,135a449d34a1,4699079,746407,26019354,12044148,5529,Hauptnetz,MeteoSchweiz,Metallstange,ja,2023-05-09,NA,1
101,Steinholzliwald,Steinholzliwald,213cff7114f2,4693514,742805,25991945,11982276,5737,Hauptnetz,Burgergemeinde,Baum,nein,2023-05-09,NA,1
102,"Vorderes LG-Quartier, Falkenweg 5",Vordere Langgasse,2b71f57ca11c,4695171,743714,25998861,12000693,5616,Hauptnetz,ewb,Strassenlampe,ja,2023-05-08,NA,1
111,Tellstrasse,Tellstrasse,68d17acb4c7c,4696017,746146,26017376,12010104,5561,Monitoring intern,BERNMOBIL,Masten,nein,2023-05-10,NA,1
112,"Ausserholligen 1, Post",Ausserholligen Post,f9c2d2bbe84f,4694755,740188,25972022,11996079,5479,Monitoring intern,Post,Strassenlampe,nein,2023-05-12,NA,1
113,"Ausserholligen 2, ewb",Ausserholligen ewb,4f5e9a2b9675,4694542,740642,25945477,11993713,5476,Monitoring intern,ewb,Strassenlampe,nein,2023-05-12,NA,1
116,Ansermetplatz,Ansermetplatz,061bc5815e5a,4694787,737708,25953137,1199645,5452,Hauptnetz,ewb,Strassenlampe,nein,2023-05-12,NA,1
117,Koniztal,Koniztal,37464e90ede9,4690961,744248,26002934,11953898,631,Hauptnetz,Bauer,Schild,nein,2023-05-09,NA,1
124,Barenplatz,Barenplatz,995c5da790ca,4694814,744366,26003829,11996729,5421,Monitoring intern,TAB,Maritstange,nein,2023-05-24,NA,1
126,Optingenstrasse,Optingenstrasse,5d922b8eddee,4695597,745045,26008999,12005433,5573,Monitoring intern,TAB,Verkehrsschild,nein,2023-05-08,NA,1
127,Breitenrainplatz,Breitenrainplatz,58c0f9c55c8d,4695838,745415,26011811,12008118,5598,Monitoring intern,ewb,Strassenlampe,nein,2023-05-08,NA,1
128,Schosshaldenfriedhof,Schosshaldenfriedhof,166584a41612,4695342,747165,26025135,12002603,5681,Monitoring intern,Stadtgrun,Mobile Stange,nein,2023-06-16,NA,1
129,Laupenstrasse (ZBB),Laupenstrasse,c1c63230dd69,4694734,743639,2599829,11995838,5406,Monitoring intern,BERNMOBIL,Fahrplananzeigemasten,nein,2023-05-12,NA,1
141,Viererfeld 2 (Schacht),Viererfeld 2 (Schacht),2512f6b6f8a7,4696271,743688,25998663,12012931,5711,Monitoring extern,eawag (?),Stange,nein,2023-05-08,NA,1
142,Viererfeld 3 (Strasse Sud),Viererfeld 3 (Strasse Sud),34203a10c11a,4696286,744009,26001111,12013094,5642,Monitoring extern,ewb,Kandelaber,nein,2023-05-11,NA,1
143,Viererfeld 4 (Strasse Nord),Viererfeld 4 (Strasse Nord),cb1330fd71b9,4696523,744165,26002298,12015728,5675,Monitoring extern,ewb,Kandelaber,nein,2023-05-16,NA,1
144,Viererfeld 5 (Mittelfeld),Viererfeld 5 (Mittelfeld),a8386067f2e8,4696178,743481,25997093,12011895,5736,Monitoring extern,Urban Climate Bern,Eigene Stange,nein,2023-05-08,NA,1
151,Ostermundigen BareTower,Ostermundigen BareTower,1422c91c94ef,4695563,748114,26032357,12005064,5548,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
152,Ostermundigen Moosweg,Ostermundigen Moosweg,71912f0c8afa,4695813,748807,2603763,12007848,552,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
153,Ostermundigen Wegmuhlegassli,Ostermundigen Wegmuhlegassli,57542e9f73a9,4695806,749371,26041922,12007773,5483,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
154,Ostermundigen Oberfeld,Ostermundigen Oberfeld,22164103ffc8,469581,749792,26045124,12007814,5674,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
155,Ostermundigen Milchstrasse,Ostermundigen Milchstrasse,5d30f69ffcbf,4696241,748201,26033016,12012605,5505,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
156,Ostermundigen Tiefenmosli,Ostermundigen Tiefenmosli,d89267a081f7,4694801,748411,26034623,11996598,5522,Monitoring Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
161,Ostermundigen Schermenweg,Ostermundigen Schermenweg,d3960c86f92a,4695821,748052,26031881,12007933,5518,Monitoring Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
162,Ostermundigen Postgasse,Ostermundigen Poststrasse,db897f1683fc,4695867,748222,26033177,12008443,5515,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-06-16,NA,1
8,Wankdorf ESP,Wankdorf ESP,7637b479bc79,46968,746247,26018142,12018814,5505,Hauptnetz,ewb,Strassenlampe,nein,2023-05-08,2023-06-01,1
8,Wankdorf ESP,Wankdorf ESP,cad06aabf023,46968,746247,26018142,12018814,5505,Hauptnetz,ewb,Strassenlampe,nein,2023-06-01,2023-06-06,1
10,"Langgasse, Neufeldstrasse 135",Hintere Langgasse,1564ef396f0f,4695789,743541,25997549,20075672,5585,Hauptnetz,ewb,Strassenlampe,nein,2023-05-09,2023-05-24,1
14,Helvetiaplatz,Helvetiaplatz,db897f1683fc,4694381,744885,26007778,11991911,5308,Hauptnetz,TAB,Verkehrsschild,ja,2023-05-10,2023-06-01,1
16,Bubenbergplatz,Bubenbergplatz,017e3348dd62,4694728,743843,25999847,11995773,5425,Hauptnetz,BERNMOBIL,Masten,nein,2023-05-10,2023-06-16,0
76,"Wabern, Viktoriastrasse 9",Wabern Viktoriastrasse,a6d098900d78,4693122,745326,2601114,11977919,5336,Hauptnetz,Gemeinde Koniz,Strassenlampe (Gmd Koniz 119),ja,2023-05-09,2023-05-24,0
89,Gurten Kulm,Gurten Kulm,2e15ffacceab,4691833,743971,2600082,11963591,848,Hauptnetz,ewb,Strassenlampe,nein,2023-05-17,2023-07-27,1
128,Schosshaldenfriedhof,Schosshaldenfriedhof,75a4a50dfb2c,4695342,747165,26025135,12002603,5681,Monitoring intern,Stadtgrun,Mobile Stange,nein,2023-05-24,2023-06-16,1
162,Ostermundigen Postgasse,Ostermundigen Poststrasse,b60acb7fff9f,4695867,748222,26033177,12008443,5515,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,2023-06-16,1
