Log_NR;STANDORT;STANDORT_NEU;Code_grafana;Latitude;Longitude;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali;New
80;Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli);Elfenau;db9e92f34b5f;46.93558;7.4695;2602350.8;1198276.9;544.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;NA;1;NA
82;Thunplatz;Thunplatz;7c98b95fbc73;46.94059;7.45824;2601493.1;1198834.2;551.8;Hauptnetz;BERNMOBIL;Tramampel;nein;10.05.2023;NA;1;NA
83;Stadtlabor;Stadtlabor;d6e2769def35;46.96311;7.46257;2601821.5;1201337.7;554.5;Hauptnetz;AFU;Holzpflock;ja;08.05.2023;NA;1;NA
85;NA;Ensingerstrasse 28;NA;46.94244;7.46132;2601727.381;1199039.407;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;Ostermundigen, Lotschenstr 13;Ostermundigen Lotschenstrasse;0cebd74f5020;46.95309;7.48719;2603696;1200224.7;551.5;Hauptnetz;Gemeinde Ostermundigen;Strassenlampe;ja;11.05.2023;NA;1;NA
87;Engehalde Stauwehr;Engehalde Stauwehr;b60acb7fff9f;46.96546;7.44503;2600486.5;1201598.6;494.5;Hauptnetz;ewb;Wehr, am ubergang;nein;08.05.2023;NA;1;NA
89;Gurten Kulm;Gurten Kulm;7462a9be23a4;46.91833;7.43971;2600082;1196359.1;848;Hauptnetz;ewb;Strassenlampe;nein;27.07.2023;NA;1;NA
98;Zollikofen Referenz 2m;Zollikofen 2m;20d1b9040ad9;46.99079;7.46407;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.2023;NA;1;NA
99;Zollikofen Referenz 3m;Zollikofen 3m;135a449d34a1;46.99079;7.46407;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.2023;NA;1;NA
101;Steinholzliwald;Steinholzliwald;213cff7114f2;46.93514;7.42805;2599194.5;1198227.6;573.7;Hauptnetz;Burgergemeinde;Baum;nein;09.05.2023;NA;1;NA
102;Vorderes LG-Quartier, Falkenweg 5;Vordere Langgasse;2b71f57ca11c;46.95171;7.43714;2599886.1;1200069.3;561.6;Hauptnetz;ewb;Strassenlampe;ja;08.05.2023;NA;1;NA
110;NA;Rosalia-Wenger Platz;NA;46.96823;7.4639;2601922.928;1201906.561;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;Tellstrasse;Tellstrasse;68d17acb4c7c;46.96017;7.46146;2601737.6;1201010.4;556.1;Monitoring intern;BERNMOBIL;Masten;nein;10.05.2023;NA;1;NA
112;Ausserholligen 1, Post;Ausserholligen Post;f9c2d2bbe84f;46.94755;7.40188;2597202.2;1199607.9;547.9;Monitoring intern;Post;Strassenlampe;nein;12.05.2023;NA;1;NA
113;Ausserholligen 2, ewb;Ausserholligen ewb;4f5e9a2b9675;46.94542;7.40642;2597547.3;1199371.3;547.6;Monitoring intern;ewb;Strassenlampe;nein;12.05.2023;NA;1;NA
114;NA;Bachmatteli 1, Polizei;NA;46.94019;7.39051;2596335.877;1198790.214;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;NA;Bachmatteli 2;NA;46.93996;7.39007;2596302.358;1198764.665;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;Ansermetplatz;Ansermetplatz;061bc5815e5a;46.94787;7.37708;2595313.7;1199645;545.2;Hauptnetz;ewb;Strassenlampe;nein;12.05.2023;NA;1;NA
117;Koniztal;Koniztal;a474b0e06285;46.90961;7.44248;2600293.4;1195389.8;631;Hauptnetz;Bauer;Schild;nein;09.05.2023;NA;1;NA
118;NA;Helvetiaplatz Monitoring;NA;46.94359;7.44936;2600816.752;1199167.071;NA;NA;NA;NA;NA;NA;NA;NA;NA
119;NA;Rosalia-Wenger Platz Monitoring;NA;46.96762;7.46401;2601931.321;1201838.749;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;NA;Waisenhausplatz II, vor Rest. Luce;NA;46.94917;7.44437;2600436.792;1199787.368;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;Barenplatz;Barenplatz;995c5da790ca;46.94814;7.44366;2600382.9;1199672.9;542.1;Monitoring intern;TAB;Maritstange;nein;24.05.2023;NA;1;NA
125;NA;Barenplatz, Schachfeld;NA;46.94734;7.44366;2600382.752;1199583.922;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;Optingenstrasse;Optingenstrasse;5d922b8eddee;46.95597;7.45045;2600899.9;1200543.3;557.3;Monitoring intern;TAB;Verkehrsschild;nein;08.05.2023;NA;1;NA
127;Breitenrainplatz;Breitenrainplatz;58c0f9c55c8d;46.95838;7.45415;2601181.1;1200811.8;559.8;Monitoring intern;ewb;Strassenlampe;nein;08.05.2023;NA;1;NA
128;Schosshaldefriedhof;Schosshaldefriedhof;NA;46.95341;7.47159;2602508.69;1200259.13;568.5;Monitoring extern;NA;NA;NA;NA;NA;NA;NA
129;Laupenstrasse (ZBB);Laupenstrasse;c1c63230dd69;46.94734;7.43639;2599829;1199583.8;540.6;Monitoring intern;BERNMOBIL;Fahrplananzeigemasten;nein;12.05.2023;NA;1;NA
131;NA;Marzili Beton;NA;46.94238;7.44103;2600182.536;1199032.509;NA;NA;NA;NA;NA;NA;NA;NA;NA
132;NA;Marzili Entsiegelung;NA;46.94222;7.4406;2600149.797;1199014.721;NA;NA;NA;NA;NA;NA;NA;NA;NA
133;NA;Marzili Rasen;NA;46.94216;7.4408;2600165.025;1199008.051;NA;NA;NA;NA;NA;NA;NA;NA;NA
134;Vorplatz Baerenplatz;Vorplatz Baerenpark;5e37031f7f2b;46.94823;7.45974;2601607;1199683;520.6;NA;NA;NA;Nein;16.03.2024;NA;1;NA
135;Optingenstrasse Sud;Optingenstrasse Sud;cad06aabf023;46.95439;7.44938;2600818;1200367;558.5;Monitoring intern?;TAB;Verkehrsschild;nein;21.03.2024;NA;1;NA
136;Optingenstrasse Nord;Optingenstrasse Nord;f055cf494274;46.95672;7.45081;2600927;1200627;555.4;Monitoring intern?;TAB;Strassenlampe;Nein;21.03.2024;NA;1;NA
141;Viererfeld 2 (Schacht);Viererfeld 2 (Schacht);2512f6b6f8a7;46.96271;7.43688;2599866.3;1201293.1;571.1;Monitoring extern;eawag;Stange;nein;08.05.2023;NA;1;NA
142;Viererfeld 3 (Strasse Sud);Viererfeld 3 (Strasse Sud);34203a10c11a;46.96286;7.44009;2600111.1;1201309.4;564.2;Monitoring extern;ewb;Kandelaber;nein;11.05.2023;NA;1;NA
143;Viererfeld 4 (Strasse Nord);Viererfeld 4 (Strasse Nord);cb1330fd71b9;46.96523;7.44165;2600229.8;1201572.8;567.5;Monitoring extern;ewb;Kandelaber;nein;16.05.2023;NA;1;NA
144;Viererfeld 5 (Mittelfeld);Viererfeld 5 (Mittelfeld);a8386067f2e8;46.96178;7.43481;2599709.3;1201189.5;573.6;Monitoring extern;Urban Climate Bern;Eigene Stange;nein;08.05.2023;NA;1;NA
151;NA;Ostermundigen BareTower;NA;46.95563;7.48114;2603235.663;1200506.358;NA;NA;NA;NA;NA;NA;NA;NA;NA
152;Ostermundigen Moosweg;Ostermundigen Moosweg;71912f0c8afa;46.95813;7.48807;2603763;1200784.8;552;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
153;Ostermundigen Wegmuhlegassli;Ostermundigen Wegmuhlegassli;57542e9f73a9;46.95806;7.49371;2604192.2;1200777.3;548.3;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
154;Ostermundigen Oberfeld;Ostermundigen Oberfeld;22164103ffc8;46.9581;7.49792;2604512.4;1200781.4;567.4;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
155;Ostermundigen Milchstrasse;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;2603301.6;1201260.5;550.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
156;Ostermundigen Tiefenmosli;Ostermundigen Tiefenmosli;d89267a081f7;46.94801;7.48411;2603462.3;1199659.8;552.2;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
161;Ostermundigen Schermenweg;Ostermundigen Schermenweg;d3960c86f92a;46.95821;7.48052;2603188.1;1200793.3;551.8;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
162;Ostermundigen Postgasse;Ostermundigen Poststrasse;db897f1683fc;46.95867;7.48222;2603317.7;1200844.3;551.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;16.06.2023;NA;1;NA
171;Postgasse;Postgasse Nord;7b36c77aba0d;46.94886;7.4542;2601185.138;1199752.986;531;Monitoring intern;UC;Verkehrsschild;nein;21.03.2024;NA;1;NA
173;Postgasse west;Postgasse West;a6d098900d78;46.94871;7.45341;2601124.999;1199736.299;537;Monitoring intern;UC;Verkehrsschild;nein;21.03.2024;NA;1;NA
174;Postgasse Sud;Postgasse Sued;f31e2d9d37ba;46.94886;7.45466;2601220.158;1199752.992;530;Monitoring intern;UC;Verkehrsschild;nein;21.03.2024;NA;1;NA
