Log_NR;Location;Latitude;Longitude;Code_grafana;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali
128;Schosshaldefriedhof;46.95341;7.47159;NA;2602508.69;1200259.13;568.5;Monitoring extern;NA;NA;NA;NA;NA;NA
129;Laupenstrasse;46.94734;7.43639;c1c63230dd69;2599829;1199583.8;540.6;Monitoring intern;BERNMOBIL;Fahrplananzeigemasten;nein;12.05.23;NA;1
131;Marzili Beton;46.94238;7.44103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
132;Marzili Entsiegelung;46.94222;7.4406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
133;Marzili Rasen;46.94216;7.4408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
134;Vorplatz Baerenpark;46.94823;7.45974;5e37031f7f2b;2601607;1199683;520.6;NA;NA;NA;Nein;16.03.24;NA;1
135;Optingenstrasse Sud;46.95439;7.44938;cad06aabf023;2600818;1200367;558.5;Monitoring intern?;TAB;Verkehrsschild;nein;21.03.24;NA;1
136;Optingenstrasse Nord;46.95672;7.45081;f055cf494274;2600927;1200627;555.4;Monitoring intern?;TAB;Strassenlampe;Nein;21.03.24;NA;1
141;Viererfeld 2 (Schacht);46.96271;7.43688;2512f6b6f8a7;2599866.3;1201293.1;571.1;Monitoring extern;eawag;Stange;nein;08.05.23;NA;1
142;Viererfeld 3 (Strasse Sud);46.96286;7.44009;34203a10c11a;2600111.1;1201309.4;564.2;Monitoring extern;ewb;Kandelaber;nein;11.05.23;NA;1
143;Viererfeld 4 (Strasse Nord);46.96523;7.44165;cb1330fd71b9;2600229.8;1201572.8;567.5;Monitoring extern;ewb;Kandelaber;nein;16.05.23;NA;1
144;Viererfeld 5 (Mittelfeld);46.96178;7.43481;a8386067f2e8;2599709.3;1201189.5;573.6;Monitoring extern;Urban Climate Bern;Eigene Stange;nein;08.05.23;NA;1
151;Ostermundigen BareTower;46.95563;7.48114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
151;Ostermundigen BareTower;46.95563;7.48114;1422c91c94ef;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
151;Ostermundigen BaereTower;46.95563;7.48114;1422c91c94ef;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
152;Ostermundigen Moosweg;46.95813;7.48807;71912f0c8afa;2603763;1200784.8;552;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
153;Ostermundigen Wegmuhlegassli;46.95806;7.49371;57542e9f73a9;2604192.2;1200777.3;548.3;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
154;Ostermundigen Oberfeld;46.9581;7.49792;22164103ffc8;2604512.4;1200781.4;567.4;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
155;Ostermundigen Milchstrasse;46.96241;7.48201;5d30f69ffcbf;2603301.6;1201260.5;550.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
156;Ostermundigen Tiefenmosli;46.94801;7.48411;d89267a081f7;2603462.3;1199659.8;552.2;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
161;Ostermundigen Schermenweg;46.95821;7.48052;d3960c86f92a;2603188.1;1200793.3;551.8;Monitoring Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
162;Ostermundigen Poststrasse;46.95867;7.48222;db897f1683fc;2603317.7;1200844.3;551.5;Hauptnetz Ostermundigen;Gemeinde Ostermundigen;Strassenlampe;nein;16.06.23;NA;1
171;Postgasse Nord;46.94886;7.4542;7b36c77aba0d;2601185.138;1199752.986;531;Monitoring intern;UC;Verkehrsschild;nein;21.03.24;NA;1
173;Postgasse West;46.94871;7.45341;a6d098900d78;2601124.999;1199736.299;537;Monitoring intern;UC;Verkehrsschild;nein;21.03.24;NA;1
174;Postgasse Sued;46.94886;7.45466;f31e2d9d37ba;2601220.158;1199752.992;530;Monitoring intern;UC;Verkehrsschild;nein;21.03.24;NA;1
NA;Ostermundigen BareTower 2;46.95563;7.48114;75a4a50dfb2c;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;Spielplatz Untermatt;46.94855;7.40002;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;Bremgartenwald tief;46.9646;7.41178;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;Holligen;46.94519;7.4168;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
