Log_NR,Location,Latitude,Longitude,Code_grafana,Start,End,ID
136,Optingenstrasse Nord,46.95672,7.45081,a3841c1842b4,03-21-2024,NA,OLD
136,Optingenstrasse Nord,46.95672,7.45081,,03-21-2024,NA,OLD
136,Optingenstrasse Nord,46.95672,7.45081,f055cf494274,03-21-2024,NA,live
141,Viererfeld 2 (Schacht),46.96271,7.43688,2512f6b6f8a7,05-08-2023,NA,OLD
141,Viererfeld 2 (Schacht),46.96271,7.43688,2512f6b6f8a7,05-08-2023,NA,live
142,Viererfeld 3 (Strasse Sud),46.96286,7.44009,34203a10c11a,05-11-2023,NA,OLD
142,Viererfeld 3 (Strasse Sud),46.96286,7.44009,34203a10c11a,05-11-2023,NA,live
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,cb1330fd71b9,05-16-2023,NA,OLD
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,cb1330fd71b9,05-16-2023,NA,live
144,Viererfeld 5 (Mittelfeld),46.96178,7.43481,a8386067f2e8,05-08-2023,NA,OLD
144,Viererfeld 5 (Mittelfeld),46.96178,7.43481,a8386067f2e8,05-08-2023,NA,live
151,Ostermundigen BareTower,46.95563,7.48114,1422c91c94ef,05-11-2023,NA,OLD
151,Ostermundigen BaereTower,46.95563,7.48114,1422c91c94ef,05-11-2023,NA,OLD
152,Ostermundigen Moosweg,46.95813,7.48807,71912f0c8afa,05-11-2023,NA,OLD
152,Ostermundigen Moosweg,46.95813,7.48807,71912f0c8afa,05-11-2023,NA,live
153,Ostermundigen Wegmuhlegassli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,OLD
153,Ostermundigen Wegmuhlegaessli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,OLD
153,Ostermundigen Wegmuhlegassli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,live
154,Ostermundigen Oberfeld,46.9581,7.49792,22164103ffc8,05-11-2023,NA,OLD
154,Ostermundigen Oberfeld,46.9581,7.49792,22164103ffc8,05-11-2023,NA,live
155,Ostermundigen Milchstrasse,46.96241,7.48201,5d30f69ffcbf,05-11-2023,NA,OLD
