"","Log_NR","STANDORT","NORD_CHTOPO","OST_CHTOPO","Code_grafana","LV_03_E","LV_03_N","HuM","Art","ZUSTAENDIG","BEFESTIGUNG","Doppel_Messnetz_23","Start","End","Quali"
"52",87,"Engehalde Stauwehr",4696546,744503,"b60acb7fff9f",26004865,12015986,4945,"Hauptnetz","ewb","Wehr, am ubergang","nein","08.05.23",NA,1
"53",89,"Gurten Kulm",4691833,743971,"7462a9be23a4",2600082,11963591,848,"Hauptnetz","ewb","Strassenlampe","nein","27.07.23",NA,1
"54",98,"Zollikofen 2m",4699079,746407,"20d1b9040ad9",26019354,12044148,5529,"Hauptnetz","MeteoSchweiz","Metallstange","ja","09.05.23",NA,1
"55",99,"Zollikofen 3m",4699079,746407,"135a449d34a1",26019354,12044148,5529,"Hauptnetz","MeteoSchweiz","Metallstange","ja","09.05.23",NA,1
"56",101,"Steinholzliwald",4693514,742805,"213cff7114f2",25991945,11982276,5737,"Hauptnetz","Burgergemeinde","Baum","nein","09.05.23",NA,1
"57",102,"Vordere Langgasse",4695171,743714,"2b71f57ca11c",25998861,12000693,5616,"Hauptnetz","ewb","Strassenlampe","ja","08.05.23",NA,1
"58",111,"Tellstrasse",4696017,746146,"68d17acb4c7c",26017376,12010104,5561,"Monitoring intern","BERNMOBIL","Masten","nein","10.05.23",NA,1
"59",112,"Ausserholligen Post",4694755,740188,"f9c2d2bbe84f",25972022,11996079,5479,"Monitoring intern","Post","Strassenlampe","nein","12.05.23",NA,1
"60",113,"Ausserholligen ewb",4694542,740642,"4f5e9a2b9675",25975473,11993713,5476,"Monitoring intern","ewb","Strassenlampe","nein","12.05.23",NA,1
"61",116,"Ansermetplatz",4694787,737708,"061bc5815e5a",25953137,1199645,5452,"Hauptnetz","ewb","Strassenlampe","nein","12.05.23",NA,1
"62",117,"Koniztal",4690961,744248,"a474b0e06285",26002934,11953898,631,"Hauptnetz","Bauer","Schild","nein","09.05.23",NA,1
"63",124,"Barenplatz",4694814,744366,"995c5da790ca",26003829,11996729,5421,"Monitoring intern","TAB","Maritstange","nein","24.05.23",NA,1
"64",126,"Optingenstrasse",4695597,745045,"5d922b8eddee",26008999,12005433,5573,"Monitoring intern","TAB","Verkehrsschild","nein","08.05.23",NA,1
"65",127,"Breitenrainplatz",4695838,745415,"58c0f9c55c8d",26011811,12008118,5598,"Monitoring intern","ewb","Strassenlampe","nein","08.05.23",NA,1
"66",129,"Laupenstrasse",4694734,743639,"c1c63230dd69",2599829,11995838,5406,"Monitoring intern","BERNMOBIL","Fahrplananzeigemasten","nein","12.05.23",NA,1
"67",134,"Vorplatz Baerenpark",4694823,745974,"5e37031f7f2b",2601607,1199683,5206,NA,NA,NA,"Nein","16.03.24",NA,1
"68",135,"Optingenstrasse Sud",4695439,744938,"cad06aabf023",2600818,1200367,5585,"Monitoring intern?","TAB","Verkehrsschild","nein","21.03.24",NA,1
